label,broker,size_bytes,target_rate,duration_s,producers,consumers,sent,received,lost,send_err,recv_err,throughput_msgs,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
rabbitmq_s128_r1000,rabbitmq,128,1000,12,1,1,7579,7579,0,0,0,632,0.534,0.314,1.271,4.465,69.481
rabbitmq_s128_r5000,rabbitmq,128,5000,12,1,1,10686,10686,0,0,0,890,0.398,0.300,0.761,2.236,31.935
rabbitmq_s128_r10000,rabbitmq,128,10000,12,1,1,13055,13055,0,0,0,1088,0.328,0.289,0.497,0.989,33.313
rabbitmq_s1024_r1000,rabbitmq,1024,1000,12,1,1,11892,11892,0,0,0,991,0.357,0.320,0.447,1.169,23.806
rabbitmq_s1024_r5000,rabbitmq,1024,5000,12,1,1,12510,12510,0,0,0,1042,0.341,0.305,0.494,0.887,20.210
rabbitmq_s1024_r10000,rabbitmq,1024,10000,12,1,1,13362,13362,0,0,0,1114,0.320,0.300,0.421,0.690,20.375
rabbitmq_s10240_r1000,rabbitmq,10240,1000,12,1,1,9769,9769,0,0,0,814,0.615,0.461,0.979,2.835,46.849
rabbitmq_s10240_r5000,rabbitmq,10240,5000,12,1,1,12762,12762,0,0,0,1064,0.484,0.444,0.629,1.096,24.894
rabbitmq_s10240_r10000,rabbitmq,10240,10000,12,1,1,11916,11916,0,0,0,993,0.508,0.441,0.798,1.468,24.114
rabbitmq_s102400_r1000,rabbitmq,102400,1000,12,1,1,4221,4221,0,0,0,352,2.453,2.164,4.023,5.640,54.339
rabbitmq_s102400_r5000,rabbitmq,102400,5000,12,1,1,3456,3456,0,0,0,288,2.989,1.884,4.623,17.095,390.561
rabbitmq_s102400_r10000,rabbitmq,102400,10000,12,1,1,2007,2007,0,0,0,167,4.719,2.640,9.082,31.373,737.717
redis_s128_r1000,redis,128,1000,12,1,1,12501,12501,0,0,0,1042,0.320,0.219,0.652,1.579,46.483
redis_s128_r5000,redis,128,5000,12,1,1,62443,62443,0,0,0,5204,0.334,0.303,0.584,1.049,44.089
redis_s128_r10000,redis,128,10000,12,1,1,93688,93688,0,0,0,7807,0.326,0.306,0.543,0.923,37.802
redis_s1024_r1000,redis,1024,1000,12,1,1,12499,12499,0,0,0,1042,0.375,0.207,0.819,3.246,40.073
redis_s1024_r5000,redis,1024,5000,12,1,1,62449,62449,0,0,0,5204,0.347,0.314,0.627,1.053,52.376
redis_s1024_r10000,redis,1024,10000,12,1,1,89316,89316,0,0,0,7443,0.355,0.329,0.619,1.116,66.351
redis_s10240_r1000,redis,10240,1000,12,1,1,12498,12498,0,0,0,1042,0.446,0.287,0.925,2.944,78.197
redis_s10240_r5000,redis,10240,5000,12,1,1,62133,62133,0,0,0,5178,0.590,0.552,0.920,1.300,92.490
redis_s10240_r10000,redis,10240,10000,12,1,1,56936,56936,0,0,0,4745,0.632,0.552,1.072,1.942,52.848
redis_s102400_r1000,redis,102400,1000,12,1,1,12299,12299,0,0,0,1025,2.317,2.072,4.386,6.644,66.935
redis_s102400_r5000,redis,102400,5000,12,1,1,12070,12070,0,0,0,1006,2.655,2.345,4.740,7.637,73.471
redis_s102400_r10000,redis,102400,10000,12,1,1,12820,12820,0,0,0,1068,2.560,2.324,4.357,6.413,93.373
my_run,redis,1024,5000,20,1,1,101847,101847,0,0,0,5092,0.383,0.350,0.661,1.158,76.498
my_run,redis,1024,5000,20,1,1,102471,102471,0,0,0,5124,0.340,0.339,0.555,0.758,3.949
